"MESSAGEID","COMMUNICATIONSOURCE","VENDORCODE","MUNETWORKID","NUMERATOR","STATUS","TIME","MESSAGETYPE","MESSAGESOURCE","GPSCONNECTION","OPERATIONMODE","EVENTCODE","DISTRESS","IGNITION","SHOCK","DOOR","OUTGPSPOWER","OUTGRADSTOP","OUTSIRENCONTROL","OUTDOORUNLOCK","OUTIMMOBILIZER","OUTDOORLOCK","OUTBLINKERCONTROL","OUTINTERNALLIGHTS","MAINSUPPLYVOLTAGE","BACKUPBATTERYVOLTAGE","MAINPOWERREGULATEDVOLTAGE","ANALOGVOLTAGE","DISTANCE","DALLASCODE","LASTGPSFIX","GPSNUMBEROFSATELLITESUSED","GPSLONGITUDE","GPSLATITUDE","GPSALTITUDE","GPSGROUNDSPEED","SPEEDDIRECTION","HWVERSION","SWVERSION","SWPROTOCOLVERSIONIDENT","MESSAGE","INPUTA","INPUTB","MESSAGEFROMMEMORY","GSMOPERATORCODE"
"2881242837","S","DT20N","1028599","194","R","2015-12-17 14:40:13.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","26.050647735596","0","0","0","839195","0","2015-12-17 14:40:00.000","7","20.747983932495","46.21656036377","90.75","0","1.0620000362396","221","31","n","NULL","A","I","F","22610"
"2881242838","S","DT90F","786469","241","R","2015-12-17 14:40:15.000","T","1","NULL","NULL","1090","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","I","I","F","NULL"
"2881242839","S","DT20N","1120249","24","R","2015-12-17 14:40:13.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","14.729571342468","0","0","0","229518","0","2015-12-17 14:40:00.000","8","29.124189376831","40.952392578125","58.129997253418","23.003999710083","2.5550000667572","221","41","f","NULL","A","I","F","28602"
"2881242840","S","DT20N","1039651","96","R","2015-12-17 14:40:14.000","G","1","C","0","43","A","I","A","I","I","I","I","I","I","I","I","I","13.268787384033","0","0","0","382287","0","2015-12-17 14:40:00.000","7","29.020990371704","41.02853012085","58.369998931885","0","2.0590000152588","221","31","z","NULL","A","I","F","28601"
"2881242841","S","DT20N","1039651","97","R","2015-12-17 14:40:14.000","G","1","C","0","53","A","I","A","I","I","I","I","I","I","I","I","I","13.268787384033","0","0","0","382287","0","2015-12-17 14:40:00.000","7","29.020990371704","41.02853012085","58.369998931885","0","2.0590000152588","221","31","z","NULL","A","I","F","28601"
"2881242842","S","DT20N","1072612","161","R","2015-12-17 14:40:14.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","14.851303100586","0","0","0","837703","0","2015-12-17 14:40:00.000","8","29.215702056885","40.903270721435","74.48999786377","64.36799621582","5.4279999732971","221","31","z","NULL","A","I","F","28602"
"2881242843","S","DT20N","1073023","206","R","2015-12-17 14:40:14.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","14.486107826233","0","0","0","452033","0","2015-12-17 14:40:00.000","9","29.301349639893","40.875049591065","13.670000076294","78.947998046875","1.0609999895096","221","31","z","NULL","A","I","F","28602"
"2881242845","S","DT20T","1397575","143","R","12/17/2015 14:39","G","1","C","0","0","I","A","NULL","NULL","A","NULL","I","NULL","I","NULL","NULL","NULL","14.123999595642","NULL","NULL","NULL","49","NULL","NULL","6","36.909328460693","30.698345184326","67","31","153","NULL","NULL","NULL","io(speed=40;move=1;hdop=2.9)","NULL","NULL","NULL","28601"
"2881242846","G","DT465","2027866","200","R","2015-12-17 14:40:15.000","G","1","C","NULL","44","I","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13.885000228882","NULL","NULL","NULL","416167","NULL","2015-12-17 14:40:15.000","12","32.84366607666","39.936779022217","845.09997558594","15.699999809265","2.3387413024902","33","33028","q","NULL","NULL","NULL","NULL","28602"
"2881242847","S","DT20T","1397575","144","R","2015-12-17 14:40:01.057","G","1","C","0","0","I","A","NULL","NULL","A","NULL","I","NULL","I","NULL","NULL","NULL","14.090000152588","NULL","NULL","NULL","25","NULL","NULL","7","36.909164428711","30.698442459106","67","7","135","NULL","NULL","NULL","io(speed=40;move=1;hdop=1.6)","NULL","NULL","NULL","28601"
"2881242848","S","DT20T","1397575","145","R","12/17/2015 14:40","G","1","C","0","0","I","A","NULL","NULL","A","NULL","I","NULL","I","NULL","NULL","NULL","14.159000396728","NULL","NULL","NULL","27","NULL","NULL","7","36.908973693848","30.698698043823","65","15","129","NULL","NULL","NULL","io(speed=15;move=1;hdop=1.1)","NULL","NULL","NULL","28601"
"2881242849","G","DT465","2026828","222","R","2015-12-17 14:40:14.000","G","1","C","NULL","53","I","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","NULL","157730","NULL","2015-12-17 14:40:14.000","12","28.903270721436","40.213706970215","65","0","0.31415927410126","33","33025","q","NULL","NULL","NULL","NULL","28601"
"2881242850","S","DT20T","1397575","146","R","12/17/2015 14:40","G","1","C","0","0","I","A","NULL","NULL","A","NULL","I","NULL","I","NULL","NULL","NULL","14.105999946594","NULL","NULL","NULL","28","NULL","NULL","7","36.908786773682","30.69889831543","63","20","155","NULL","NULL","NULL","io(speed=15;move=1;hdop=1.1)","NULL","NULL","NULL","28601"
"2881242851","S","DT20N","686563","190","R","2015-12-17 14:40:15.000","G","1","C","1","69","A","A","A","I","I","I","I","I","I","I","I","I","12.903591156006","0","0","0","625723","0","2015-12-17 14:40:00.000","8","32.877979278565","39.898361206055","1026.1999511719","0","5.313000202179","221","31","z","NULL","A","I","F","28601"
"2881242852","S","DT90F","681784","156","R","2015-12-17 14:40:14.000","G","1","C","0","36","I","A","A","A","I","I","I","I","I","I","I","I","14.235294342041","0","70.00700378418","0","457521","0","2015-12-17 14:40:00.000","7","29.112939834595","41.112106323242","111.94999694824","28.295999526977","5.6550002098083","216","31","p","NULL","A","A","F","28601"
